Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Manufacturer type (product.metafields.shopify.manufacturer-type),Size (product.metafields.shopify.size),Vehicle drive/handling features (product.metafields.shopify.vehicle-drive-handling-features),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Status
zoo-performance-5-year-anniversary-t-shirt,Limited Edition 5 YEAR ANNIVERSARY T-Shirt,"<p>Purchase our limited editon Australian Proud merch to celebrate our 5 year Anniversay<br>High quality print colours on a superior black AS Colour T-Shirt<br><br>Size Guide: <br>AS Colour Sizes</p>
<p><em>*Please allow 7-14 working days for printing &amp; shipping! </em></p>
<!---->",Zoo Performance,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Merchandise,"",true,Size,small,product.metafields.shopify.size,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/t-shirtbackFINAL.jpg?v=1741222958,1,"",false,,,,,,,,,,,,,,,,,,,small; medium-1; large; xl; xxxl; xxl; 4xl; 5xl,,,kg,,,true,,,true,,,active
zoo-performance-5-year-anniversary-t-shirt,,,,,,,,,medium-1,,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/T-ShirtFrontFINAL.jpg?v=1741222958,2,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
zoo-performance-5-year-anniversary-t-shirt,,,,,,,,,large,,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/model_back.jpg?v=1741223014,3,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
zoo-performance-5-year-anniversary-t-shirt,,,,,,,,,xl,,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
zoo-performance-5-year-anniversary-t-shirt,,,,,,,,,xxxl,,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
zoo-performance-5-year-anniversary-t-shirt,,,,,,,,,xxl,,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
zoo-performance-5-year-anniversary-t-shirt,,,,,,,,,4xl,,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
zoo-performance-5-year-anniversary-t-shirt,,,,,,,,,5xl,,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
5-year-anniversay-hoodie,Limited Edition 5 YEAR ANNIVERSARY Hoodie,"<p>Purchase our limited editon Australian Proud merch to celebrate our 5 year Anniversay<br>High quality print colours on a superior black AS Colour Hoodie <br><br>Size Guide: <br>AS Colour Sizes</p>
<p><em>*Please allow 7-14 working days for printing &amp; shipping! </em></p>
<!---->",Zoo Performance,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Merchandise,"",true,Size,small,product.metafields.shopify.size,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/guy.jpg?v=1741224403,1,"",false,,,,,,,,,,,,,,,,,,,small; medium-1; large; xl; xxxl; xxl; 4xl; 5xl,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/hoodiebackFINAL.jpg?v=1741224403,kg,,,true,,,true,,,active
5-year-anniversay-hoodie,,,,,,,,,medium-1,,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/hoodiebackFINAL.jpg?v=1741224403,2,"",,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/hoodiebackFINAL.jpg?v=1741224403,kg,,,,,,,,,
5-year-anniversay-hoodie,,,,,,,,,large,,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/hoodieFrontFINAL.jpg?v=1741224403,3,"",,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/hoodiebackFINAL.jpg?v=1741224403,kg,,,,,,,,,
5-year-anniversay-hoodie,,,,,,,,,xl,,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/hoodie-mockup-of-a-woman-posing-in-a-tropical-scenario-3552-el1.png?v=1741224403,4,"",,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/hoodiebackFINAL.jpg?v=1741224403,kg,,,,,,,,,
5-year-anniversay-hoodie,,,,,,,,,xxxl,,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/hoodiebackFINAL.jpg?v=1741224403,kg,,,,,,,,,
5-year-anniversay-hoodie,,,,,,,,,xxl,,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/hoodiebackFINAL.jpg?v=1741224403,kg,,,,,,,,,
5-year-anniversay-hoodie,,,,,,,,,4xl,,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/hoodiebackFINAL.jpg?v=1741224403,kg,,,,,,,,,
5-year-anniversay-hoodie,,,,,,,,,5xl,,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/hoodiebackFINAL.jpg?v=1741224403,kg,,,,,,,,,
